RWCID;MIDITrackNo;MIDITrackName;SemitoneOffset;comment
RWC_P001;5;MELODY;24;
RWC_P002;4;MELODY;0;
RWC_P003;4;MELODY;12;from 17 to 35 seconds one octave lower
RWC_P004;4;MELODY;12;
RWC_P005;4;MELODY;12;
RWC_P006;6;MELODY;12;
RWC_P007;4;MELODY;0;
RWC_P008;4;MELODY;12;
RWC_P009;4;MELODY;12;
RWC_P010;5;MELO;12;
RWC_P011;4;MELODY;12;
RWC_P012;4;MELODY;12;
RWC_P013;4;MELODY;12;
RWC_P014;4;MELODY;0;
RWC_P015;3;MELO;12;
RWC_P016;5;MELODY;12;
RWC_P017;4;MELODY;12;
RWC_P018;4;MELODY;12;
RWC_P019;5;MELODY;12;
RWC_P020;4;MELODY;12;
RWC_P021;4;MELODY;12;
RWC_P022;4;MELODY;12;
RWC_P023;4;MELO;12;
RWC_P024;4;MELO;12;
RWC_P025;4;MELODY;12;
RWC_P026;3;MELODY;12;in chorus part, the midi is the back vocals or some instrument, instead of the  main vocal melody
RWC_P027;4;MELODY;12;
RWC_P028;5;MELODY;12;
RWC_P029;4;MELO;12;
RWC_P030;4;MELODY;24;
RWC_P031;4;Melo;12;some octave inconsistencies around the one minute mark
RWC_P031;3;Sub Vocal;12;Not the main melody track
RWC_P032;5;MELODY;12;
RWC_P033;4;MELO;12;
RWC_P034;4;MELODY 1;12;
RWC_P035;4;MELO;12;
RWC_P036;4;MELODY 1;12;
RWC_P037;4;MELODY 1;0;
RWC_P038;4;MELO;12;
RWC_P039;5;MELODY;0;
RWC_P040;4;MELODY;12;
RWC_P041;4;MELO;12;
RWC_P042;4;MELODY;0;
RWC_P043;4;MELODY;12;
RWC_P044;4;MELODY;12;
RWC_P045;3;melody;12;
RWC_P046;4;Melody;12;
RWC_P047;4;MELODY;12;
RWC_P048;4;MELO;12;
RWC_P049;4;Melody;12;
RWC_P050;4;MELODY;0;
RWC_P051;4;MELODY;12;
RWC_P052;4;MELODY;12;
RWC_P053;4;MELODY;0;
RWC_P054;4;MELODY;0;
RWC_P055;4;MELODY;12;
RWC_P056;4;Melo;12;
RWC_P057;4;Melody;12;
RWC_P058;3;MELODY;12;
RWC_P059;3;MELODY;12;
RWC_P060;4;Melo;12;
RWC_P061;4;MELODY;12;
RWC_P062;4;MELO;0;
RWC_P063;4;VOCAL;12;
RWC_P064;4;MELODY;12;
RWC_P065;4;MELO;12;
RWC_P066;4;Vocal.1;12;first of two singers, correct global offset
RWC_P066;6;Vocal.2;12;second of two singers, correct global offset
RWC_P067;4;Melody;12;
RWC_P068;4;MELO;12;
RWC_P069;4;MELODY;0;
RWC_P070;4;MELODY;12;
RWC_P071;4;MELODY;12;
RWC_P072;3;Melo;12;
RWC_P073;4;Melo;12;
RWC_P073;3;Sub Melo;12;Not the main vocals
RWC_P074;3;Melo;12;
RWC_P075;3;MELODY;0;
RWC_P076;2;Melo;12;
RWC_P077;3;MELODY;0;
RWC_P078;4;Melo;12;
RWC_P079;2;MELO;12;
RWC_P080;2;MELODY;12;
RWC_P081;4;MELODY;0;
RWC_P082;4;Melo;12;
RWC_P083;4;MELODY;12;
RWC_P084;4;Melo;12;
RWC_P085;4;MELODY;12;
RWC_P086;5;Melody;12;
RWC_P087;4;MELODY;12;
RWC_P088;4;Melody;12;
RWC_P089;4;MELODY;0;
RWC_P090;4;Melody;12;
RWC_P091;4;MELODY;12;
RWC_P092;4;MELO;12;
RWC_P093;4;Melody;12;
RWC_P094;4;Melody;12;
RWC_P095;4;Melody;12;
RWC_P096;4;MELODY;12;
RWC_P097;5;MELODY;12;
RWC_P098;4;Melody;12;
RWC_P099;4;Melody;12;global offset correct, however at three instances does an upper harmony instead of the correct main melody.
RWC_P100;4;Melody;12;
RWC_C045;1;MELODY;0;
RWC_C046;2;MELODY;0;
RWC_C047;2;MELODY;0;
RWC_C048;2;MELO;12;
RWC_C049;2;MELODY;12;
RWC_C050;2;MELO;0;
RWC_J036;4;MELODY;12;
RWC_J037;3;MELODY;12;
RWC_G001;4;MELODY;12;
RWC_G002;4;MELODY;0;
RWC_G003;4;Melody;12;
RWC_G004;4;MELODY;0;
RWC_G005;4;MELODY;0;
RWC_G006;4;Vo Main;12;
RWC_G006;7;Vo Low;12;Back Vocal
RWC_G006;8;Vo Hi;12;Back Vocal
RWC_G007;4;MELODY;12;
RWC_G008;4;MELODY;12;
RWC_G009;4;Melody;12;
RWC_G010;4;MELODY;12;
RWC_G011;4;MELODY;12;
RWC_G012;3;MELO;12;
RWC_G012;11;MELO LOW;12;Back vocals
RWC_G013;4;MELODY;0;
RWC_G013;9;VOICE;0;Nothing?
RWC_G014;4;MELODY;0;rapping vocal
RWC_G015;4;MELODY;12;
RWC_G016;4;MELODY;12;
RWC_G017;4;MELODY;12;
RWC_G018;4;MELODY;12;
RWC_G019;4;MELODY;0;Not Vocal
RWC_G019;7;VOCAL;0;
RWC_G019;11;VOICE;0;Not Vocal
RWC_G019;16;MELO 2;0;Not Vocal
RWC_G020;4;MELODY;12;
RWC_G022;4;Melo;0;
RWC_G023;3;MELODY;12;
RWC_G024;4;Melody;12;
RWC_G025;4;Melody;12;
RWC_G026;4;Melody;12;
RWC_G027;5;MELODY;12;
RWC_G039;3;Melo;12;
RWC_G041;4;Melody;12;
RWC_G045;5;Melody;12;
RWC_G066;3;Vo;12;
RWC_G067;4;MELODY;12;
RWC_G069;4;MELODY;24;
RWC_G071;4;MELODY;12;
RWC_G073;4;Melody;12;
RWC_G074;3;Vo;12;
RWC_G076;3;MELODY;0;
RWC_G077;3;MELODY;0;
RWC_G078;3;MELODY;0;
RWC_G083;2;MELO;0;
RWC_G085;2;MELODY;12;
RWC_G086;2;MELODY;12;
RWC_G087;2;MELODY;12;
RWC_G088;2;MELODY;12;
RWC_G089;2;MELODY;12;
RWC_G090;2;MELO;12;
RWC_G091;4;melo;12;
RWC_G092;4;MELODY;12;
RWC_G093;4;MELO;12;
RWC_G094;2;UTA;12;
RWC_G095;2;UTA;12;
RWC_G096;3;MELO;12;
RWC_G100;10;MELODY;12;
RWC_R001;4;Melo;0;
RWC_R002;4;Melo;0;
RWC_R003;4;Melo;0;
RWC_R004;2;Melo;0;
RWC_R005;4;Melo;12;
RWC_R006;4;Melo;12;
RWC_R007;4;Melo;0;
RWC_R008;4;Melo;12;
RWC_R009;4;Melo;12;
RWC_R010;4;Melo;12;
RWC_R011;4;Melo;0;
RWC_R012;4;Melo;24;
RWC_R013;4;Melo;12;
RWC_R014;4;Melo;0;
RWC_R015;3;Melo;24;
